source_db_id,n_workchains,n_finished,n_finished_ok,n_finished_with_energy,max_submitted_kindex,medium_kindex,well_kindex,ultra_kindex,ultra_converged,max_finished_kindex,ultra_k_mesh,ultra_energy_per_atom,ultra_oscillation_meV_per_atom,ultra_pk
100115,23,23,23,23,22,11.0,14.0,19.0,True,22.0,"[13, 13, 8]",-3956.80640810325,0.6336082501547935,1916.0
1001468,6,6,6,6,5,3.0,3.0,3.0,True,5.0,"[2, 2, 2]",-710.4582761250625,0.5639635625129813,1984.0
100172,6,6,6,6,5,1.0,1.0,3.0,True,5.0,"[2, 2, 2]",-1136.8766905067857,0.48467753572367656,2042.0
100492,5,5,5,5,4,1.0,2.0,2.0,True,4.0,"[2, 2, 2]",-817.7365907952973,0.4617436757143878,2087.0
100560,14,14,14,14,13,10.0,10.0,11.0,True,13.0,"[8, 8, 5]",-2596.4230662231666,0.69230183316904,2210.0
100738,5,5,5,5,4,2.0,2.0,2.0,True,4.0,"[2, 2, 2]",-560.3094680199499,0.9188706001168612,2255.0
1008090,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 1, 1]",-331.5453603065417,0.04334193749855331,2293.0
1008164,6,6,6,6,5,2.0,2.0,3.0,True,5.0,"[2, 2, 2]",-1026.488522149577,0.343669423045867,2348.0
100839,6,6,6,6,5,2.0,2.0,3.0,True,5.0,"[4, 4, 4]",-1960.4270286353214,0.2764085359103774,2403.0
10098,12,12,12,12,11,4.0,5.0,9.0,True,11.0,"[2, 7, 3]",-810.3211207641591,0.9420514318208006,2509.0
1010004,12,12,12,12,11,4.0,7.0,8.0,True,11.0,"[5, 3, 3]",-1160.31026121125,0.7582391001506039,2605.0
1010314,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 2, 2]",-1086.0668974638181,0.3156277880407288,2647.0
1010512,6,6,6,6,5,0.0,0.0,1.0,True,5.0,"[2, 2, 2]",-605.2799785776999,0.03007850000358303,2682.0
1010611,6,6,6,6,5,3.0,3.0,3.0,True,5.0,"[2, 2, 2]",-508.5377814692083,0.027250083348917542,2727.0
1010622,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 2, 1]",-822.087202668,0.5742508333241858,2768.0
1010946,6,6,5,5,5,3.0,3.0,3.0,True,5.0,"[4, 4, 4]",-2095.7060894065717,0.8732356432119559,2820.0
1011019,10,10,10,10,9,2.0,2.0,4.0,True,9.0,"[4, 4, 2]",-561.7575439394428,0.1843266571768254,2882.0
1011144,7,7,7,7,6,2.0,2.0,4.0,True,6.0,"[3, 2, 2]",-1006.513291310875,0.10188699991431349,2971.0
1011202,7,7,7,7,6,2.0,3.0,4.0,True,6.0,"[2, 2, 3]",-655.2543722833572,0.1686562143277115,3033.0
102038,7,7,7,7,6,1.0,2.0,4.0,True,6.0,"[5, 5, 5]",-4664.3807171533335,0.43256583285256056,3143.0
10338,18,18,18,18,17,9.0,11.0,15.0,True,17.0,"[8, 8, 9]",-1591.0599379775,0.7300054166989867,3294.0
10416,6,6,6,6,5,2.0,2.0,3.0,True,5.0,"[2, 2, 3]",-1122.33199248975,0.16591354983575002,3346.0
1045,3,3,3,3,2,0.0,0.0,0.0,True,2.0,"[1, 1, 1]",-607.7574129512143,0.6632289463368579,3371.0
104858,19,19,19,19,18,7.0,12.0,16.0,True,18.0,"[12, 12, 6]",-2099.0277140095,0.905573625004763,1933994.0
105156,7,7,7,7,6,3.0,4.0,4.0,True,6.0,"[3, 3, 3]",-1577.0925105051563,0.917976281243682,3567.0
105179,7,7,7,7,6,2.0,3.0,4.0,True,6.0,"[5, 5, 5]",-2171.815622692375,0.6170226247377286,3626.0
106238,11,11,9,9,10,4.0,4.0,6.0,True,9.0,"[7, 7, 7]",-5497.613038410217,0.4629045652109198,3749.0
106269,15,15,15,15,14,8.0,10.0,11.0,True,14.0,"[8, 8, 5]",-2335.3545208046667,0.4626621666830033,3948.0
106270,14,14,14,14,13,8.0,10.0,11.0,True,13.0,"[8, 8, 5]",-2415.702903271,0.25228066624549683,4123.0
106292,15,15,15,15,14,5.0,10.0,11.0,True,14.0,"[7, 7, 6]",-2471.1862533005,0.8427541665696481,4362.0
106703,7,7,7,7,6,1.0,2.0,4.0,True,6.0,"[4, 4, 2]",-1376.72372839025,0.15009518756414764,4454.0
106704,8,8,8,8,7,1.0,3.0,5.0,True,7.0,"[4, 4, 3]",-1473.2303558525625,0.7845766249374719,4545.0
106753,11,11,11,11,10,7.0,7.0,8.0,True,10.0,"[4, 4, 6]",-1709.6785871342222,0.15500155564041052,4674.0
107137,8,8,7,7,7,4.0,4.0,5.0,True,7.0,"[6, 6, 1]",-2992.9314305932917,0.6237413335838937,4809.0
107157,8,8,8,8,7,4.0,4.0,5.0,True,7.0,"[6, 6, 1]",-2993.148527276875,0.7628827083863143,5064.0
107183,8,8,8,8,7,4.0,4.0,5.0,True,7.0,"[6, 6, 1]",-2993.1488454407145,0.764238035571907,5169.0
107204,10,10,10,10,9,6.0,6.0,7.0,True,9.0,"[7, 7, 2]",-139.54008711839998,0.8316636400138577,5271.0
107445,13,13,13,13,12,7.0,8.0,10.0,True,12.0,"[5, 3, 5]",-1847.542835196,0.7895381249909406,5402.0
107446,11,11,11,11,10,5.0,5.0,8.0,True,10.0,"[4, 2, 5]",-1810.0938919505625,0.5560199999763427,5514.0
107447,20,20,20,20,19,7.0,11.0,16.0,True,19.0,"[7, 4, 8]",-1733.68601739025,0.551125812535247,5706.0
107490,3,3,3,3,2,0.0,0.0,0.0,True,2.0,"[1, 1, 1]",-244.2163936246,0.7808342333248675,5748.0
107497,7,7,7,7,6,1.0,4.0,4.0,True,6.0,"[3, 2, 2]",-200.61267494601788,0.26499109287669853,5822.0
107587,12,12,12,12,11,3.0,3.0,9.0,True,11.0,"[9, 9, 2]",-2114.32131587925,0.6189017499309557,5943.0
107666,4,4,4,4,3,0.0,0.0,1.0,True,3.0,"[1, 1, 2]",-204.38813620038957,0.9572323521069848,5985.0
107679,6,6,6,6,5,2.0,3.0,3.0,True,5.0,"[2, 2, 2]",-770.3020312254666,0.5588943665770785,6046.0
107850,6,6,6,6,5,3.0,3.0,3.0,True,5.0,"[4, 4, 4]",-400.38443644086954,0.5905146086888635,6109.0
107932,14,14,14,14,13,9.0,9.0,11.0,True,13.0,"[8, 8, 5]",-2412.487403018333,0.9779954998521134,1934060.0
108741,9,9,9,9,8,3.0,3.0,5.0,True,8.0,"[3, 3, 4]",-1357.470839145,0.9425707812624751,6307.0
108767,5,5,5,5,4,2.0,2.0,2.0,True,4.0,"[3, 3, 3]",-1951.585845139125,0.4350870312919142,6369.0
108770,6,6,6,6,5,2.0,2.0,3.0,True,5.0,"[4, 4, 4]",-2452.2916116667334,0.4703793329099426,6432.0
108816,8,8,8,8,7,3.0,4.0,5.0,True,7.0,"[2, 1, 5]",-1012.965252300025,0.30712850002601044,6514.0
108838,5,5,5,5,4,2.0,2.0,2.0,True,4.0,"[2, 2, 1]",-451.8478428529272,0.734757504631034,6569.0
108849,11,11,11,11,10,5.0,5.0,8.0,True,10.0,"[2, 2, 7]",-1277.5718444543463,0.5033308464135189,6683.0
