pk,formula,n_atoms,n_electrons,is_odd,spin_type,elements
4339,AsY,2,26,False,none,"['As', 'Y']"
23885,BZr,2,15,True,collinear,"['B', 'Zr']"
890,CdTe,2,36,False,none,"['Cd', 'Te']"
20557,FeS,2,22,False,none,"['Fe', 'S']"
27007,NTc,2,20,False,none,"['N', 'Tc']"
2370,Nb2,2,26,False,none,['Nb']
4981,SbY,2,26,False,none,"['Sb', 'Y']"
1418,B2Be,3,10,False,none,"['B', 'Be']"
13430,BaLiSi,3,17,True,collinear,"['Ba', 'Li', 'Si']"
19462,CAgN,3,28,False,none,"['Ag', 'C', 'N']"
26212,CoCrTe,3,47,True,collinear,"['Co', 'Cr', 'Te']"
15954,CuMgSn,3,43,True,collinear,"['Cu', 'Mg', 'Sn']"
30863,TaTe2,3,45,True,collinear,"['Ta', 'Te']"
16349,Al3Zr,4,21,True,collinear,"['Al', 'Zr']"
14092,B2Pt2,4,42,False,none,"['B', 'Pt']"
11043,CrNb3,4,53,True,collinear,"['Cr', 'Nb']"
5221,Cu2GaSc,4,62,False,none,"['Cu', 'Ga', 'Sc']"
26887,InPd2Sc,4,60,False,none,"['In', 'Pd', 'Sc']"
28416,MnPd2Sn,4,65,True,collinear,"['Mn', 'Pd', 'Sn']"
22889,Ni2Pb2,4,64,False,none,"['Ni', 'Pb']"
1934,Ni2SnV,4,63,True,collinear,"['Ni', 'Sn', 'V']"
30896,B2NiW2,5,52,False,none,"['B', 'Ni', 'W']"
27170,BaS3Zr,5,40,False,none,"['Ba', 'S', 'Zr']"
14479,Ca3N2,5,40,False,none,"['Ca', 'N']"
6931,CaMg2Sb2,5,60,False,none,"['Ca', 'Mg', 'Sb']"
2917,AgClO4,6,50,False,none,"['Ag', 'Cl', 'O']"
1831,As4Mo2,6,88,False,none,"['As', 'Mo']"
23215,Br2N2Zr2,6,48,False,none,"['Br', 'N', 'Zr']"
15123,Mg2Na2Sb2,6,68,False,none,"['Mg', 'Na', 'Sb']"
25333,Ru2Te4,6,96,False,none,"['Ru', 'Te']"
21564,B4Mn2W,7,56,False,none,"['B', 'Mn', 'W']"
19005,Ba3N2OZn,7,66,False,none,"['Ba', 'N', 'O', 'Zn']"
30996,Na5Sn2,7,73,True,collinear,"['Na', 'Sn']"
9280,Al2Ti4Zr2,8,78,False,none,"['Al', 'Ti', 'Zr']"
30093,As4Zr4,8,108,False,none,"['As', 'Zr']"
11305,Ba2Bi4Cd2,8,120,False,none,"['Ba', 'Bi', 'Cd']"
18183,CaLi2O4Si,8,44,False,none,"['Ca', 'Li', 'O', 'Si']"
20655,Hf2Ni4Sb2,8,126,False,none,"['Hf', 'Ni', 'Sb']"
16169,LiPd7,8,129,True,collinear,"['Li', 'Pd']"
25542,Pt2V6,8,114,False,none,"['Pt', 'V']"
28846,B3Co3Nb3,9,99,True,collinear,"['B', 'Co', 'Nb']"
27514,CCs4O4,9,64,False,none,"['C', 'Cs', 'O']"
